,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS,USG_PCT,HUSTLE_POINTS,RPM,WINS,PER,CAREER_TOTAL_FANTASY_PTS,cum_id,ID_MATCH
0,1630698,Kevin Pangos,24,99.2,4.13,0.143,98.14,-4.90,-0.06,6.57,96.2,1630698,True
1,1630688,Ish Wainright,41,173.1,4.22,0.121,278.94,-5.09,-0.14,5.46,156.1,1630688,True
2,1630678,Terry Taylor,27,487.4,18.05,0.149,349.42,-2.40,0.84,20.10,473.4,1630678,True
3,1630631,Jose Alvarado,47,747.2,15.9,0.175,768.53,-0.27,2.56,16.27,681.2,1630631,True
4,1630625,Dalano Banton,62,549.9,8.87,0.16,627.9,-5.53,-0.57,9.82,512.9,1630625,True
5,1630613,Duane Washington Jr.,42,621.2,14.79,0.216,279.6,-4.77,-0.19,9.62,598.2,1630613,True
6,1630598,Aaron Wiggins,46,701.0,15.24,0.14,744.33,-3.54,0.72,9.95,661.0,1630598,True
7,1630596,Evan Mobley,67,2274.6,33.95,0.2,1902.3,3.40,11.58,15.90,2111.6,1630596,True
8,1630595,Cade Cunningham,59,2027.6,34.37,0.27,1602.95,0.81,6.67,13.01,1916.6,1630595,True
9,1630591,Jalen Suggs,46,1144.6,24.88,0.246,1106.54,-1.87,2.26,8.81,1070.6,1630591,True
10,1630583,Santi Aldama,29,216.9,7.48,0.157,143.79,-3.14,0.34,7.82,205.9,1630583,True
11,1630581,Josh Giddey,54,1738.7,32.2,0.218,1225.23,1.03,6.18,13.47,1667.7,1630581,True
12,1630580,Joe Wieskamp,24,93.3,3.89,0.144,81.48,-3.73,0.08,8.61,87.3,1630580,True
13,1630579,Jericho Sims,35,272.3,7.78,0.064,290.43,-3.88,0.21,11.26,252.3,1630579,True
14,1630578,Alperen Sengun,68,1548.3,22.77,0.219,1492.67,-3.61,0.99,16.24,1425.3,1630578,True
15,1630573,Sam Hauser,22,86.0,3.91,0.136,21.39,-4.94,-0.05,12.15,83.0,1630573,True
16,1630572,Sandro Mamukelashvili,37,247.0,6.68,0.132,239.49,-3.79,0.18,13.53,233.0,1630572,True
17,1630570,Trendon Watford,48,839.3,17.49,0.169,695.83,-4.05,0.31,15.95,786.3,1630570,True
18,1630568,Luka Garza,31,323.0,10.42,0.188,398.81,-2.67,0.54,15.14,309.0,1630568,True
19,1630567,Scottie Barnes,67,2241.9,33.46,0.188,1745.85,2.19,10.35,16.36,2112.9,1630567,True
20,1630563,Joshua Primo,43,508.1,11.82,0.149,529.83,-5.60,-0.70,7.69,471.1,1630563,True
21,1630561,David Duke Jr.,21,263.9,12.57,0.15,310.74,-4.35,0.03,10.17,242.9,1630561,True
22,1630560,Cam Thomas,62,907.8,14.64,0.212,596.82,-3.72,0.69,12.08,867.8,1630560,True
23,1630559,Austin Reaves,55,786.3,14.3,0.114,756.96,-2.49,1.95,10.70,742.3,1630559,True
24,1630558,Davion Mitchell,69,1439.1,20.86,0.199,1288.18,-3.53,1.40,10.61,1367.1,1630558,True
25,1630557,Corey Kispert,69,972.8,14.1,0.143,827.7,-0.86,4.12,11.05,922.8,1630557,True
26,1630556,Kessler Edwards,41,554.8,13.53,0.131,400.56,-4.65,-0.10,8.17,509.8,1630556,True
27,1630553,Keon Johnson,29,332.6,11.47,0.198,313.8,-6.68,-0.77,7.41,308.6,1630553,True
28,1630551,Justin Champagnie,35,204.5,5.84,0.11,191.79,-3.96,0.13,13.60,193.5,1630551,True
29,1630550,JT Thor,29,186.0,6.41,0.116,152.46,-2.89,0.31,10.47,168.0,1630550,True
30,1630549,Day'Ron Sharpe,32,460.5,14.39,0.205,308.31,-2.16,0.63,20.85,435.5,1630549,True
31,1630547,James Bouknight,28,243.1,8.68,0.225,221.43,-4.58,-0.02,10.64,235.1,1630547,True
32,1630544,Tre Mann,60,1072.7,17.88,0.213,741.5,-2.36,2.11,10.40,1013.7,1630544,True
33,1630543,Isaiah Jackson,31,541.9,17.48,0.224,380.79,-1.43,0.96,21.07,483.9,1630543,True
34,1630541,Moses Moody,48,380.1,7.92,0.15,342.97,-3.47,0.41,9.74,363.1,1630541,True
35,1630540,Miles McBride,36,218.8,6.08,0.137,234.88,-4.05,0.11,6.15,204.8,1630540,True
36,1630538,Bones Hyland,63,1129.4,17.93,0.231,778.56,-2.01,1.64,13.90,1078.4,1630538,True
37,1630537,Chris Duarte,55,1270.2,23.09,0.207,1070.83,-1.66,3.09,12.46,1204.2,1630537,True
38,1630535,Greg Brown III,41,420.5,10.26,0.172,364.35,-3.92,0.22,11.29,380.5,1630535,True
39,1630533,Ziaire Williams,56,730.5,13.04,0.138,569.46,-1.85,2.32,9.08,689.5,1630533,True
40,1630532,Franz Wagner,76,2113.7,27.81,0.207,1650.23,1.72,9.88,14.78,2012.7,1630532,True
41,1630530,Trey Murphy III,55,534.4,9.72,0.14,468.04,-3.38,0.72,12.19,508.4,1630530,True
42,1630529,Herbert Jones,72,1678.9,23.32,0.138,2033.02,0.45,7.31,12.39,1506.9,1630529,True
43,1630528,Josh Christopher,68,1007.1,14.81,0.203,957.55,-4.59,-0.10,11.83,942.1,1630528,True
44,1630527,Brandon Boston Jr.,50,599.8,12.0,0.213,409.8,-3.77,0.42,11.04,562.8,1630527,True
45,1630526,Jeremiah Robinson-Earl,44,775.8,17.63,0.146,890.12,-1.55,1.93,10.83,733.8,1630526,True
46,1630267,Facundo Campazzo,63,979.4,15.55,0.143,1109.84,-3.26,1.14,11.27,1913.2,1630267,True
47,1630264,Anthony Gill,37,270.9,7.32,0.133,301.99,-3.21,0.37,16.54,434.6,1630264,True
48,1630256,Jae'Sean Tate,72,1842.1,25.58,0.196,1726.13,1.82,7.94,14.87,3387.9,1630256,True
49,1630249,Vit Krejci,22,251.4,11.43,0.108,231.6,-4.65,-0.05,9.02,236.4,1630249,True
50,1630245,Ayo Dosunmu,70,1325.3,18.93,0.134,1286.53,-3.15,1.84,11.22,1245.3,1630245,True
51,1630240,Saben Lee,34,492.7,14.49,0.165,500.11,-3.03,0.65,13.50,1129.1,1630240,True
52,1630235,Trent Forrest,58,514.7,8.87,0.125,547.41,-4.89,-0.27,10.77,693.0,1630235,True
