,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203999,00,0,522,481,15828.0,3904,7224,0.54042,534,1540,0.346753,1833,2207,0.830539,1379,3994,5373,3248,616,372,1439,1454,10175
0,203507,00,0,650,585,21148.0,5119,9585,0.534063,443,1531,0.289353,3451,4808,0.717762,1104,4974,6078,2986,756,852,1863,1955,14132
0,203954,00,0,321,321,9982.0,2711,5567,0.486976,377,1127,0.334516,2481,3061,0.810519,750,2879,3629,1053,279,532,1078,994,8280
0,1627749,00,0,318,247,8186.0,1611,3542,0.454827,211,646,0.326625,510,664,0.768072,321,1585,1906,1530,453,84,587,592,3943
0,1628369,00,0,360,360,12021.0,2684,5889,0.455764,816,2123,0.384361,1333,1576,0.845812,314,2070,2384,1076,402,249,765,760,7517
0,1629027,00,0,273,273,9162.0,2197,5013,0.43826,705,1992,0.353915,1751,2010,0.871144,179,883,1062,2472,260,42,1134,469,6850
0,1626157,00,0,477,477,16305.0,4083,7741,0.527451,768,1935,0.396899,2113,2535,0.83353,1433,3979,5412,1471,385,658,1275,1611,11047
0,1629029,00,0,257,257,8693.0,2301,5042,0.456366,707,2106,0.335707,1425,1940,0.734536,269,1924,2193,2026,270,106,1050,575,6734
0,201942,00,0,951,939,32573.0,7069,15223,0.464363,405,1412,0.286827,5145,6151,0.836449,706,3502,4208,3705,928,280,1972,2145,19688
0,2544,00,0,1365,1364,52098.0,13530,26802,0.504813,2137,6178,0.345904,7827,10661,0.734171,1601,8601,10202,10041,2135,1041,4782,2513,37024
0,1630163,00,0,120,100,3699.0,785,1830,0.428961,289,777,0.371943,327,398,0.821608,166,602,768,823,189,48,358,358,2186
0,203944,00,0,517,437,16110.0,3381,7161,0.47214,444,1339,0.33159,1964,2643,0.743094,1025,3785,4810,1835,365,235,1420,1614,9170
0,1628970,00,0,285,182,8281.0,1422,3021,0.470705,421,1227,0.343113,506,626,0.808306,322,1286,1608,638,211,214,395,570,3771
0,201935,00,0,935,721,32351.0,6885,15558,0.442537,2578,7124,0.361875,7000,8146,0.859317,736,4515,5251,6315,1444,510,3513,2445,23348
0,201566,00,0,1016,999,35259.0,8278,18920,0.437526,1137,3731,0.304744,5489,7004,0.783695,1684,5824,7508,8583,1697,312,4174,2668,23182
0,201939,00,0,826,820,28361.0,6875,14520,0.473484,3117,7290,0.427572,3197,3520,0.908238,553,3285,3838,5388,1367,187,2598,1981,20064
0,202696,00,0,735,674,22693.0,5360,10849,0.494054,549,1573,0.349014,1197,1583,0.756159,1876,5808,7684,2020,647,674,1282,1813,12466
0,1626164,00,0,473,448,15930.0,3879,8501,0.456299,965,2711,0.355957,2366,2720,0.869852,245,1600,1845,2215,397,128,1487,1394,11089
0,1627783,00,0,394,300,11537.0,2347,4794,0.48957,385,1161,0.33161,1057,1368,0.77266,544,1914,2458,1195,362,268,697,1070,6136
0,1627734,00,0,415,275,11806.0,2330,4367,0.533547,181,567,0.319223,1120,1538,0.728218,937,2878,3815,1493,309,184,958,1260,5961
0,202685,00,0,690,661,18018.0,3677,6536,0.562576,154,428,0.359813,1745,2223,0.784975,1941,4589,6530,811,286,701,1130,1963,9253
0,1630169,00,0,129,91,4225.0,679,1456,0.466346,271,663,0.408748,184,219,0.840182,93,363,456,882,199,73,274,191,1813
0,1629630,00,0,186,186,5989.0,1450,3057,0.474321,219,673,0.325408,821,1088,0.754595,185,647,832,1328,181,52,615,281,3940
0,1628378,00,0,340,332,11460.0,2909,6594,0.441158,948,2620,0.361832,1342,1610,0.83354,265,1146,1411,1516,439,99,954,866,8108
0,1626174,00,0,222,122,5246.0,1152,2219,0.519152,275,724,0.379834,577,864,0.667824,334,1287,1621,299,137,190,316,396,3156
0,101108,00,0,1150,1150,39739.0,7375,15590,0.473059,1543,4176,0.369492,4587,5262,0.871721,709,4481,5190,10921,2442,172,2763,2785,20880
0,1628991,00,0,200,191,5412.0,1116,2453,0.454953,335,949,0.353003,592,751,0.788282,261,766,1027,232,174,359,336,756,3159
0,203497,00,0,604,512,18065.0,2755,4223,0.652379,0,9,0.0,1958,3067,0.638408,1996,5014,7010,801,405,1346,992,1555,7468
0,1627832,00,0,344,195,9714.0,1593,3924,0.405963,780,2032,0.383858,717,834,0.859712,143,951,1094,1677,425,127,545,677,4683
0,1628983,00,0,243,234,7724.0,1583,3348,0.472819,298,857,0.347724,957,1186,0.806913,160,928,1088,1040,273,161,535,504,4421
0,1630162,00,0,138,121,4584.0,999,2349,0.425287,368,1072,0.343283,409,526,0.777566,115,532,647,457,181,80,338,280,2775
0,1629636,00,0,174,170,5799.0,1125,2544,0.442216,363,977,0.371545,370,419,0.883054,85,361,446,1085,184,16,548,310,2983
0,201142,00,0,932,929,34220.0,8642,17433,0.495726,1748,4564,0.382997,6266,7091,0.883655,656,5931,6587,3974,1015,1028,2934,1785,25298
0,203897,00,0,473,386,15051.0,3353,7272,0.461083,1021,2641,0.386595,1641,1978,0.829625,219,1638,1857,1841,421,144,1262,1028,9368
0,1626179,00,0,471,229,12257.0,2140,5136,0.416666,940,2491,0.377358,716,873,0.82016,307,1533,1840,1476,432,112,576,672,5936
0,1628398,00,0,342,212,10399.0,2013,4487,0.448629,638,1883,0.338821,672,929,0.723358,378,1738,2116,759,195,184,646,705,5336
0,1630596,00,0,67,67,2274.0,408,806,0.506203,23,91,0.252747,160,241,0.6639,136,417,553,170,54,109,132,145,999
0,1628368,00,0,322,308,10325.0,2269,4916,0.461554,364,1139,0.319578,1246,1719,0.72484,169,969,1138,2005,432,142,900,854,6148
0,201950,00,0,832,753,27596.0,5319,11555,0.46032,1156,3183,0.363179,1685,2170,0.776497,752,2574,3326,5320,1256,427,2260,1856,13479
0,1630567,00,0,67,67,2390.0,416,851,0.488836,51,171,0.298245,141,194,0.726804,176,331,507,233,75,54,127,175,1024
0,1630217,00,0,140,89,3673.0,718,1550,0.463225,333,775,0.429677,169,193,0.875647,75,456,531,318,125,44,164,307,1938
0,1630180,00,0,145,128,4440.0,694,1738,0.399309,369,1022,0.361056,320,386,0.829015,146,597,743,309,120,30,152,231,2077
0,1627759,00,0,397,290,11363.0,2415,5118,0.471864,703,1891,0.37176,954,1341,0.711409,358,1596,1954,785,372,144,736,987,6487
0,202710,00,0,686,581,22718.0,3941,8577,0.459484,552,1720,0.32093,3695,4392,0.841302,1066,2573,3639,2819,1122,323,1111,988,12129
0,1627751,00,0,411,159,8269.0,1320,2103,0.627674,2,3,0.666666,330,637,0.518053,1023,1453,2476,587,212,519,401,946,2972
0,203991,00,0,464,403,12433.0,2510,4027,0.623292,0,3,0.0,742,1408,0.526988,1637,3301,4938,461,317,706,528,1133,5762
0,203114,00,0,645,570,20492.0,3996,8710,0.458783,1202,3058,0.393067,1837,2085,0.881055,398,2733,3131,2426,784,120,1346,1650,11031
0,202699,00,0,745,625,23348.0,4659,9795,0.47565,984,2688,0.366071,1892,2284,0.828371,751,3861,4612,1700,546,391,1063,1497,12194
0,1630532,00,0,76,76,2391.0,444,953,0.465897,93,266,0.349624,186,216,0.861111,83,268,351,227,68,33,118,159,1167
0,1628973,00,0,270,120,6615.0,1236,2503,0.493807,271,726,0.373278,426,534,0.797752,113,697,810,1012,156,12,354,452,3169
0,203468,00,0,583,486,18415.0,4303,9453,0.455199,1350,3410,0.395894,1247,1530,0.815032,368,1650,2018,2015,514,223,1011,1244,11203
0,1628976,00,0,203,192,5593.0,952,1855,0.513207,97,326,0.297546,475,650,0.730769,497,1306,1803,404,130,179,332,629,2476
0,1626156,00,0,420,356,12349.0,2699,6428,0.419881,1034,2897,0.35692,996,1277,0.779953,218,1274,1492,2343,466,119,1185,783,7428
0,1629628,00,0,193,192,6467.0,1211,2889,0.419176,318,883,0.360135,628,900,0.697777,181,897,1078,548,148,53,402,446,3368
0,1628389,00,0,338,234,9507.0,1723,3090,0.557605,7,50,0.14,1069,1442,0.741331,729,2078,2807,1170,335,308,699,826,4522
0,203084,00,0,741,680,23588.0,3773,8323,0.453322,995,2618,0.380061,1952,2425,0.804948,757,3034,3791,1369,521,141,927,1180,10493
0,1630595,00,0,59,59,1936.0,390,946,0.412262,108,339,0.318584,124,148,0.837837,57,281,338,328,70,41,215,184,1012
0,1628386,00,0,341,276,9062.0,1538,2457,0.625966,18,95,0.189473,851,1218,0.698686,939,2025,2964,467,187,465,456,686,3945
0,1628969,00,0,302,235,9469.0,1272,2506,0.507581,420,1117,0.376007,424,511,0.829745,269,920,1189,627,396,182,260,622,3388
0,1630178,00,0,128,74,3320.0,630,1327,0.474755,142,370,0.383783,252,293,0.860068,36,294,330,407,74,43,117,220,1654
0,202704,00,0,698,461,17838.0,3390,7988,0.424386,938,2712,0.34587,1382,1619,0.853613,366,1744,2110,2995,483,85,1312,1364,9100
0,203952,00,0,593,593,20772.0,4251,9498,0.447567,823,2363,0.348286,2101,2902,0.723983,732,1896,2628,1383,592,396,1182,1284,11426
0,1630175,00,0,109,96,3277.0,569,1442,0.39459,189,557,0.339317,320,379,0.844327,69,491,560,554,75,34,271,262,1647
0,1626171,00,0,446,119,9669.0,1984,4229,0.469141,468,1217,0.384552,493,656,0.751524,835,2099,2934,529,258,171,483,855,4929
0,1629057,00,0,174,77,3460.0,557,765,0.728104,0,3,0.0,141,212,0.665094,438,717,1155,249,130,300,146,329,1255
0,1627741,00,0,462,291,13467.0,2674,6221,0.429834,1397,3504,0.398687,615,712,0.863764,340,1631,1971,1153,378,134,804,970,7360
0,1629673,00,0,178,66,4341.0,800,1925,0.415584,357,1054,0.338709,413,470,0.878723,53,383,436,496,119,38,290,365,2370
0,203500,00,0,660,595,17707.0,2549,4344,0.586786,1,14,0.071428,1041,1899,0.548183,2373,2890,5263,963,585,627,942,1637,6140
0,1628401,00,0,257,158,6638.0,1028,2335,0.440256,323,961,0.336108,572,681,0.839941,124,719,843,988,204,202,348,558,2951
0,1627742,00,0,364,325,11948.0,2447,5301,0.461611,492,1362,0.361233,1346,1757,0.766078,277,1590,1867,1387,258,208,874,882,6732
0,203994,00,0,411,330,9815.0,1989,3978,0.5,32,138,0.231884,1005,1495,0.67224,1052,2461,3513,903,372,489,870,1287,5015
0,1629639,00,0,170,33,5130.0,1042,2376,0.438552,382,1004,0.380478,360,422,0.85308,71,712,783,541,111,34,345,230,2826
