,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS
345,1630698,Kevin Pangos,24,99.2,4.13
229,1630688,Ish Wainright,41,173.1,4.22
532,1630678,Terry Taylor,25,459.2,18.37
303,1630631,Jose Alvarado,45,697.8,15.51
105,1630625,Dalano Banton,61,544.3,8.92
164,1630613,Duane Washington Jr.,42,621.2,14.79
4,1630598,Aaron Wiggins,45,682.1,15.16
180,1630596,Evan Mobley,65,2235.3,34.39
62,1630595,Cade Cunningham,58,1994.1,34.38
250,1630591,Jalen Suggs,46,1144.6,24.88
502,1630583,Santi Aldama,28,213.7,7.63
305,1630581,Josh Giddey,54,1738.7,32.2
288,1630580,Joe Wieskamp,23,93.3,4.06
281,1630579,Jericho Sims,33,251.8,7.63
17,1630578,Alperen Sengun,66,1479.5,22.42
501,1630572,Sandro Mamukelashvili,36,247.0,6.86
551,1630570,Trendon Watford,47,804.8,17.12
379,1630568,Luka Garza,31,323.0,10.42
503,1630567,Scottie Barnes,65,2183.4,33.59
311,1630563,Joshua Primo,41,480.2,11.71
119,1630561,David Duke Jr.,21,263.9,12.57
65,1630560,Cam Thomas,61,903.4,14.81
29,1630559,Austin Reaves,54,768.1,14.22
122,1630558,Davion Mitchell,67,1351.3,20.17
96,1630557,Corey Kispert,68,943.1,13.87
340,1630556,Kessler Edwards,39,545.6,13.99
339,1630553,Keon Johnson,28,312.2,11.15
317,1630551,Justin Champagnie,35,204.5,5.84
231,1630550,JT Thor,29,186.0,6.41
125,1630549,Day'Ron Sharpe,32,460.5,14.39
251,1630547,James Bouknight,28,243.1,8.68
549,1630544,Tre Mann,59,1046.2,17.73
221,1630543,Isaiah Jackson,31,541.9,17.48
424,1630541,Moses Moody,47,346.5,7.37
416,1630540,Miles McBride,34,208.6,6.14
43,1630538,Bones Hyland,61,1092.4,17.91
85,1630537,Chris Duarte,55,1270.2,23.09
208,1630535,Greg Brown III,40,412.3,10.31
595,1630533,Ziaire Williams,54,688.6,12.75
185,1630532,Franz Wagner,74,2053.8,27.75
558,1630530,Trey Murphy III,53,501.4,9.46
215,1630529,Herbert Jones,70,1628.9,23.27
304,1630528,Josh Christopher,66,949.8,14.39
46,1630527,Brandon Boston Jr.,50,599.8,12.0
279,1630526,Jeremiah Robinson-Earl,44,775.8,17.63
181,1630267,Facundo Campazzo,63,979.4,15.55
25,1630264,Anthony Gill,36,241.8,6.72
