,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
0,203932,Aaron Gordon,68,352,63,1,113,46,37
2,1628988,Aaron Holiday,58,151,78,0,16,28,20
3,1630174,Aaron Nesmith,46,125,22,3,10,9,20
4,1630598,Aaron Wiggins,45,246,60,0,28,26,22
7,1629678,Admiral Schofield,33,70,8,2,31,5,13
9,201143,Al Horford,64,708,62,0,306,38,143
10,202692,Alec Burks,72,388,117,0,33,51,15
12,1630197,Aleksej Pokusevski,57,314,67,0,45,20,15
13,1627936,Alex Caruso,35,167,112,6,40,23,12
14,203458,Alex Len,36,267,31,0,299,11,57
16,1628993,Alize Johnson,23,42,7,0,37,8,15
17,1630578,Alperen Sengun,65,457,113,11,332,35,116
18,1629599,Amir Coffey,61,187,69,3,25,23,21
19,203083,Andre Drummond,64,404,133,0,424,33,128
20,2738,Andre Iguodala,26,81,48,1,30,13,19
21,203952,Andrew Wiggins,65,550,96,1,58,37,45
22,1629014,Anfernee Simons,57,231,44,1,26,27,4
23,203076,Anthony Davis,37,412,88,2,191,30,43
24,1630162,Anthony Edwards,64,342,165,1,29,73,8
25,1630264,Anthony Gill,35,85,10,1,57,11,18
27,1629717,Armoni Brooks,49,96,60,1,0,12,3
29,1630559,Austin Reaves,54,296,61,15,18,13,28
30,203085,Austin Rivers,59,161,85,0,8,18,14
31,202340,Avery Bradley,58,148,94,2,62,24,42
32,1630245,Ayo Dosunmu,68,334,89,1,29,51,14
34,1628389,Bam Adebayo,48,382,118,3,456,45,155
35,203463,Ben McLemore,54,128,49,1,9,20,16
36,202687,Bismack Biyombo,30,151,25,0,180,10,35
37,201933,Blake Griffin,54,248,53,25,204,23,57
39,1626171,Bobby Portis,64,595,105,0,269,45,192
40,203992,Bogdan Bogdanovic,55,319,108,0,50,22,42
41,202711,Bojan Bogdanovic,64,269,43,1,46,28,51
43,1630538,Bones Hyland,61,196,74,0,17,26,10
44,202954,Brad Wanamaker,23,49,15,0,0,4,5
45,203078,Bradley Beal,40,183,77,7,43,45,12
46,1630527,Brandon Boston Jr.,50,114,43,0,3,13,19
47,1629634,Brandon Clarke,58,358,69,0,260,33,104
48,1629164,Brandon Goodwin,30,60,40,0,6,20,3
49,1627742,Brandon Ingram,50,299,67,2,57,33,23
55,1628971,Bruce Brown,64,300,146,0,131,44,26
56,1628981,Bruno Fernando,27,39,4,0,19,4,9
57,1627854,Bryn Forbes,70,86,35,0,14,27,26
58,1627741,Buddy Hield,73,414,124,0,77,56,19
59,1629604,CJ Elleby,48,156,47,2,14,23,11
60,203468,CJ McCollum,53,355,80,1,25,48,15
62,1630595,Cade Cunningham,57,400,131,2,59,57,42
63,1628997,Caleb Martin,55,265,104,8,52,39,34
64,1629629,Cam Reddish,49,197,111,1,9,30,14
65,1630560,Cam Thomas,61,196,51,0,5,21,9
66,1629661,Cameron Johnson,60,307,75,4,60,34,48
69,1626166,Cameron Payne,52,178,83,5,19,28,15
70,1627747,Caris LeVert,49,236,74,2,18,46,18
72,2546,Carmelo Anthony,64,331,74,0,111,19,102
76,1626224,Cedi Osman,59,192,78,1,34,19,17
78,1629646,Charles Bassey,23,47,8,0,40,4,6
82,1629002,Chimezie Metu,52,279,92,1,71,19,40
83,1628449,Chris Boucher,71,418,92,12,160,24,40
84,1629185,Chris Chiozza,33,54,18,1,13,3,4
85,1630537,Chris Duarte,55,297,90,1,26,39,7
86,101108,Chris Paul,59,155,158,2,58,57,26
88,1626174,Christian Wood,66,697,81,0,297,34,96
89,1629643,Chuma Okeke,62,352,126,0,82,42,75
90,203991,Clint Capela,65,639,83,13,587,41,191
91,1629632,Coby White,53,315,49,2,44,32,14
92,1628998,Cody Martin,62,252,148,17,66,57,56
93,203469,Cody Zeller,27,79,22,1,164,14,37
94,1630175,Cole Anthony,60,281,79,7,27,45,6
96,1630557,Corey Kispert,67,283,42,0,43,35,25
97,202709,Cory Joseph,61,272,80,4,46,33,45
99,1626156,D'Angelo Russell,59,270,112,5,57,32,33
100,201571,D.J. Augustin,46,51,20,1,13,14,5
105,1630625,Dalano Banton,61,152,55,0,28,23,12
106,1627745,Damian Jones,48,326,43,1,264,13,35
107,203081,Damian Lillard,29,116,41,2,9,16,6
108,1627814,Damion Lee,56,204,54,4,40,17,18
110,1629655,Daniel Gafford,63,563,67,1,488,32,122
112,1628464,Daniel Theis,39,280,39,0,185,14,66
113,201568,Danilo Gallinari,60,272,57,3,127,27,45
114,201980,Danny Green,52,277,107,2,38,20,23
115,1627863,Danuel House Jr.,36,130,30,1,7,18,25
116,1629647,Darius Bazley,68,597,81,0,155,39,34
117,1629636,Darius Garland,59,229,108,2,30,65,14
119,1630561,David Duke Jr.,21,54,29,0,9,12,7
121,1628021,David Nwaba,45,98,44,0,30,18,24
122,1630558,Davion Mitchell,67,315,94,8,6,42,39
123,202722,Davis Bertans,48,134,32,1,42,10,38
124,1628432,Davon Reed,40,113,29,0,11,11,24
125,1630549,Day'Ron Sharpe,32,133,16,0,115,8,53
126,1628368,De'Aaron Fox,59,280,149,3,59,36,9
127,1629631,De'Andre Hunter,45,293,65,1,41,21,36
128,1629001,De'Anthony Melton,65,229,188,1,58,51,26
129,201599,DeAndre Jordan,41,165,20,0,111,9,68
130,1627761,DeAndre' Bembry,56,104,109,0,17,31,12
132,201942,DeMar DeRozan,68,229,107,1,18,43,46
133,202326,DeMarcus Cousins,40,192,67,5,156,19,62
134,1629731,Dean Wade,51,218,59,0,38,21,37
135,1629028,Deandre Ayton,53,600,52,0,606,27,80
137,1627749,Dejounte Murray,64,331,256,1,35,64,34
138,1626153,Delon Wright,68,172,131,2,28,45,23
139,1630166,Deni Avdija,72,446,94,0,57,31,30
140,203471,Dennis Schroder,62,222,105,6,28,47,24
141,1628372,Dennis Smith Jr.,37,108,80,1,18,16,4
142,1627756,Denzel Valentine,24,35,20,0,3,3,6
143,202324,Derrick Favors,39,211,35,0,179,13,72
144,1627884,Derrick Jones Jr.,46,191,59,1,161,15,39
145,201565,Derrick Rose,26,102,33,1,5,21,8
147,1628401,Derrick White,67,464,115,23,60,59,29
148,1630217,Desmond Bane,70,400,122,1,41,50,20
149,1626164,Devin Booker,63,353,112,0,69,64,53
150,1630170,Devin Vassell,64,288,121,2,33,47,25
153,1628984,Devonte' Graham,68,218,113,7,71,50,20
154,203473,Dewayne Dedmon,61,306,53,11,280,21,90
156,1628415,Dillon Brooks,26,144,65,2,11,25,13
157,1627734,Domantas Sabonis,62,555,93,1,801,62,147
158,1628378,Donovan Mitchell,60,222,150,3,13,56,44
159,1628978,Donte DiVincenzo,34,117,68,1,20,25,10
160,1627827,Dorian Finney-Smith,71,521,148,0,99,62,71
161,203926,Doug McDermott,51,209,17,0,20,15,35
162,203110,Draymond Green,38,327,93,7,245,36,79
163,1629234,Drew Eubanks,62,298,46,5,405,19,86
164,1630613,Duane Washington Jr.,42,138,32,0,16,5,9
165,1629130,Duncan Robinson,70,363,56,9,74,36,47
166,2730,Dwight Howard,52,234,64,0,224,15,79
167,203939,Dwight Powell,73,551,79,10,583,27,161
168,1629685,Dylan Windler,43,66,23,1,8,12,2
169,202334,Ed Davis,27,48,6,0,42,4,25
170,203901,Elfrid Payton,47,93,40,0,27,13,7
171,1630190,Elijah Hughes,28,41,10,3,3,2,3
174,202683,Enes Freedom,35,130,8,0,172,4,50
