,PLAYER,GP,PER
3,Nikola Jokic,67,32.56
4,Giannis Antetokounmpo,60,32.22
5,Joel Embiid,60,31.39
12,LeBron James,54,26.42
13,Kevin Durant,46,25.93
14,Trae Young,68,25.47
15,Rudy Gobert,59,25.02
16,Karl-Anthony Towns,68,24.86
17,Ja Morant,56,24.82
20,Luka Doncic,57,24.29
22,Brandon Clarke,58,24.28
23,Jimmy Butler,51,24.21
24,Anthony Davis,37,24.19
25,Montrezl Harrell,64,23.76
26,JaVale McGee,68,23.71
27,Kristaps Porzingis,44,23.50
28,DeMar DeRozan,68,23.38
29,Jarrett Allen,56,23.16
30,Willy Hernangomez,44,22.88
31,Deandre Ayton,53,22.64
33,Dejounte Murray,64,22.40
34,Donovan Mitchell,61,22.35
35,Isaiah Hartenstein,61,22.15
36,Hassan Whiteside,60,22.13
37,Domantas Sabonis,62,22.10
38,Robert Williams III,60,22.06
39,Bam Adebayo,49,21.93
40,Charles Bassey,23,21.84
41,Stephen Curry,64,21.81
44,Jayson Tatum,70,21.71
45,James Harden,57,21.57
46,Daniel Gafford,63,21.55
48,Devin Booker,63,21.44
49,Jonas Valanciunas,67,21.39
52,Shai Gilgeous-Alexander,56,21.20
53,Isaiah Jackson,31,21.06
3,Nikola Jokic,67,32.56
4,Giannis Antetokounmpo,60,32.22
5,Joel Embiid,60,31.39
12,LeBron James,54,26.42
13,Kevin Durant,46,25.93
14,Trae Young,68,25.47
15,Rudy Gobert,59,25.02
16,Karl-Anthony Towns,68,24.86
17,Ja Morant,56,24.82
20,Luka Doncic,57,24.29
22,Brandon Clarke,58,24.28
23,Jimmy Butler,51,24.21
24,Anthony Davis,37,24.19
25,Montrezl Harrell,64,23.76
26,JaVale McGee,68,23.71
27,Kristaps Porzingis,44,23.50
28,DeMar DeRozan,68,23.38
29,Jarrett Allen,56,23.16
30,Willy Hernangomez,44,22.88
31,Deandre Ayton,53,22.64
33,Dejounte Murray,64,22.40
34,Donovan Mitchell,61,22.35
35,Isaiah Hartenstein,61,22.15
36,Hassan Whiteside,60,22.13
37,Domantas Sabonis,62,22.10
38,Robert Williams III,60,22.06
39,Bam Adebayo,49,21.93
