,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS
0,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,68,41,27,0.603,31.3,114.6,116.7,116.7,110.9,111.5,111.5,3.7,5.2,5.2,0.11,1.4,15.2,0.057,0.125,0.093,10.8,10.8,0.561,0.592,0.194,0.197,99.68,98.54,82.11,98.54,0.092,4372,380,742,5.6,10.9,0.512,39,38,418,180,81,45,27,27,390,402,402,143,108,108,276,342,298,180,265,221,391,391,148,143,195,206,396,488,488,247,59,73,91,111,119,5,"203932,1610612743"
2,1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,58,32,26,0.552,16.4,106.0,106.0,106.0,108.8,108.3,108.3,-2.7,-2.2,-2.2,0.224,2.31,26.4,0.021,0.092,0.057,11.4,11.4,0.526,0.561,0.178,0.184,99.1,99.32,82.76,99.32,0.092,1967,144,308,2.5,5.3,0.468,172,133,405,245,333,364,362,362,274,226,226,333,325,325,101,132,82,398,455,463,424,424,262,244,249,252,448,421,421,248,247,247,295,301,213,5,"1628988,1610612756"
3,1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,46,28,18,0.609,10.4,106.4,105.9,105.9,102.1,102.5,102.5,4.4,3.4,3.4,0.056,0.69,8.8,0.028,0.12,0.076,12.7,12.6,0.445,0.471,0.165,0.173,100.42,100.46,83.72,100.46,0.043,997,57,154,1.2,3.3,0.37,277,176,255,176,449,348,363,363,61,71,71,122,147,147,499,498,508,325,294,314,483,480,476,483,306,298,329,318,318,517,365,354,443,424,481,5,"1630174,1610612738"
4,1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,45,11,34,0.244,23.5,104.9,104.0,104.0,112.2,112.3,112.3,-7.4,-8.3,-8.3,0.07,1.21,12.8,0.04,0.101,0.07,10.5,10.5,0.525,0.554,0.139,0.145,100.98,101.37,84.47,101.37,0.059,2217,128,279,2.8,6.2,0.459,291,402,510,535,200,400,423,423,439,433,433,444,457,457,442,390,382,247,396,347,371,373,266,269,440,442,274,233,233,462,263,267,257,252,235,5,"1630598,1610612760"
7,1629678,Admiral Schofield,Admiral,1610612753,ORL,24.0,33,9,24,0.273,11.3,101.5,101.4,101.4,114.4,114.2,114.2,-12.9,-12.8,-12.8,0.092,1.38,15.8,0.032,0.14,0.086,11.5,11.5,0.521,0.538,0.136,0.141,98.98,99.15,82.62,99.15,0.054,771,41,96,1.2,2.9,0.427,370,424,371,516,433,478,476,476,501,498,498,513,514,514,341,351,285,289,223,250,430,427,288,336,457,452,462,440,440,480,396,399,442,457,327,5,"1629678,1610612753"
9,201143,Al Horford,Al,1610612738,BOS,35.0,64,42,22,0.656,29.0,111.9,111.8,111.8,102.6,103.3,103.3,9.3,8.5,8.5,0.159,3.42,25.1,0.052,0.198,0.127,7.3,7.3,0.528,0.558,0.149,0.153,98.18,97.86,81.55,97.86,0.119,3781,240,531,3.8,8.3,0.452,83,30,328,110,119,112,141,141,71,81,81,43,49,49,178,36,91,198,81,103,151,152,255,254,384,399,507,518,518,92,142,140,169,167,262,5,"201143,1610612738"
10,202692,Alec Burks,Alec,1610612752,NYK,30.0,72,31,41,0.431,27.9,108.9,109.6,109.6,106.9,108.6,108.6,2.0,1.0,1.0,0.156,2.81,20.4,0.019,0.146,0.081,7.3,7.2,0.487,0.547,0.17,0.176,97.88,96.84,80.7,96.84,0.098,4060,244,634,3.4,8.8,0.385,10,141,562,380,134,253,231,231,187,244,244,192,231,231,184,65,165,421,193,270,146,144,393,294,288,286,523,559,559,200,138,106,199,156,456,5,"202692,1610612752"
12,1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,57,17,40,0.298,19.2,102.3,102.4,102.4,105.9,105.2,105.2,-3.6,-2.8,-2.8,0.134,1.23,15.8,0.058,0.192,0.123,12.8,12.8,0.459,0.472,0.195,0.199,100.13,100.4,83.67,100.4,0.093,2295,166,412,2.9,7.2,0.403,181,308,558,501,270,464,450,450,151,125,125,358,342,342,232,383,288,177,91,116,487,489,454,480,192,200,357,323,323,243,222,192,251,204,405,5,"1630197,1610612760"
13,1627936,Alex Caruso,Alex,1610612741,CHI,28.0,35,21,14,0.6,27.8,108.9,109.2,109.2,103.6,104.1,104.1,5.3,5.1,5.1,0.188,2.46,29.8,0.027,0.099,0.063,12.1,12.1,0.496,0.544,0.138,0.141,100.49,100.11,83.42,100.11,0.079,2024,94,228,2.7,6.5,0.412,356,253,210,181,136,251,247,247,90,100,100,103,110,110,139,117,49,333,410,400,454,460,371,310,446,454,320,351,351,325,313,294,277,236,371,5,"1627936,1610612741"
14,203458,Alex Len,Alex,1610612758,SAC,28.0,36,14,22,0.389,16.4,106.1,106.3,106.3,111.2,111.8,111.8,-5.2,-5.5,-5.5,0.103,1.05,15.6,0.075,0.177,0.124,14.9,14.9,0.542,0.568,0.163,0.167,103.33,102.94,85.78,102.94,0.074,1266,87,166,2.4,4.6,0.524,350,363,328,424,334,362,355,355,407,413,413,388,403,403,307,430,291,124,124,112,545,544,203,226,317,328,87,122,122,365,324,345,303,350,99,5,"203458,1610612758"
