,PLAYER_ID,PLAYER_NAME,GP,USG_PCT
345,1630698,Kevin Pangos,24,0.143
229,1630688,Ish Wainright,41,0.121
532,1630678,Terry Taylor,25,0.153
303,1630631,Jose Alvarado,45,0.172
105,1630625,Dalano Banton,61,0.162
164,1630613,Duane Washington Jr.,42,0.216
4,1630598,Aaron Wiggins,45,0.139
180,1630596,Evan Mobley,65,0.2
62,1630595,Cade Cunningham,58,0.269
250,1630591,Jalen Suggs,46,0.246
502,1630583,Santi Aldama,28,0.157
305,1630581,Josh Giddey,54,0.218
288,1630580,Joe Wieskamp,23,0.145
281,1630579,Jericho Sims,33,0.067
17,1630578,Alperen Sengun,66,0.217
501,1630572,Sandro Mamukelashvili,36,0.134
551,1630570,Trendon Watford,47,0.166
379,1630568,Luka Garza,31,0.188
503,1630567,Scottie Barnes,65,0.188
311,1630563,Joshua Primo,41,0.145
119,1630561,David Duke Jr.,21,0.15
65,1630560,Cam Thomas,61,0.212
29,1630559,Austin Reaves,54,0.115
122,1630558,Davion Mitchell,67,0.197
96,1630557,Corey Kispert,68,0.143
340,1630556,Kessler Edwards,39,0.132
339,1630553,Keon Johnson,28,0.195
317,1630551,Justin Champagnie,35,0.11
231,1630550,JT Thor,29,0.116
125,1630549,Day'Ron Sharpe,32,0.205
251,1630547,James Bouknight,28,0.225
549,1630544,Tre Mann,59,0.211
221,1630543,Isaiah Jackson,31,0.224
424,1630541,Moses Moody,47,0.146
416,1630540,Miles McBride,34,0.136
43,1630538,Bones Hyland,61,0.231
85,1630537,Chris Duarte,55,0.207
208,1630535,Greg Brown III,40,0.172
595,1630533,Ziaire Williams,54,0.138
185,1630532,Franz Wagner,74,0.207
558,1630530,Trey Murphy III,53,0.138
215,1630529,Herbert Jones,70,0.136
304,1630528,Josh Christopher,66,0.203
46,1630527,Brandon Boston Jr.,50,0.213
279,1630526,Jeremiah Robinson-Earl,44,0.146
181,1630267,Facundo Campazzo,63,0.143
25,1630264,Anthony Gill,36,0.136
240,1630256,Jae'Sean Tate,70,0.197
576,1630249,Vit Krejci,21,0.106
32,1630245,Ayo Dosunmu,68,0.135
496,1630240,Saben Lee,34,0.165
552,1630235,Trent Forrest,57,0.123
432,1630233,Nathan Knight,35,0.193
338,1630231,Kenyon Martin Jr.,71,0.162
429,1630230,Naji Marshall,46,0.202
295,1630228,Jonathan Kuminga,62,0.228
