,NAME,ORPM,DRPM,RPM,WINS,PLAYER_ID
29,Kevin Pangos,-0.88,-4.04,-4.92,-0.06,1630698
36,Ish Wainright,-2.33,-2.77,-5.10,-0.14,1630688
21,Terry Taylor,1.27,-3.60,-2.33,0.88,1630678
22,Jose Alvarado,1.15,-1.20,-0.05,2.64,1630631
18,Dalano Banton,-1.95,-3.65,-5.60,-0.60,1630625
15,Duane Washington Jr.,0.06,-4.77,-4.71,-0.15,1630613
28,Aaron Wiggins,-1.83,-1.73,-3.56,0.72,1630598
17,Evan Mobley,-3.26,6.62,3.36,11.53,1630596
36,Cade Cunningham,-0.81,1.67,0.86,6.63,1630595
30,Jalen Suggs,-1.42,-0.40,-1.83,2.30,1630591
32,Santi Aldama,-0.27,-2.86,-3.12,0.34,1630583
31,Josh Giddey,-1.56,2.68,1.12,6.29,1630581
16,Joe Wieskamp,0.19,-3.99,-3.80,0.08,1630580
11,Jericho Sims,-0.92,-3.23,-4.15,0.11,1630579
33,Alperen Sengun,0.60,-4.20,-3.60,1.01,1630578
29,Sandro Mamukelashvili,-0.91,-2.99,-3.90,0.15,1630572
1,Trendon Watford,-0.39,-3.62,-4.01,0.35,1630570
7,Luka Garza,0.81,-3.49,-2.68,0.54,1630568
9,Scottie Barnes,-2.19,4.34,2.14,10.30,1630567
22,Joshua Primo,-1.51,-4.13,-5.64,-0.72,1630563
33,David Duke Jr.,-2.02,-2.39,-4.41,0.02,1630561
8,Cam Thomas,0.16,-3.89,-3.73,0.70,1630560
15,Austin Reaves,-0.07,-2.18,-2.25,2.16,1630559
23,Davion Mitchell,-0.18,-3.30,-3.49,1.48,1630558
20,Corey Kispert,-0.06,-0.92,-0.99,3.89,1630557
18,Kessler Edwards,-3.66,-1.08,-4.74,-0.15,1630556
5,Keon Johnson,-2.77,-3.89,-6.66,-0.76,1630553
37,Justin Champagnie,-0.58,-3.39,-3.97,0.13,1630551
18,JT Thor,-0.60,-2.27,-2.87,0.32,1630550
10,Day'Ron Sharpe,0.29,-2.48,-2.20,0.62,1630549
3,James Bouknight,-0.44,-4.07,-4.51,-0.01,1630547
20,Tre Mann,-1.46,-0.83,-2.29,2.19,1630544
3,Isaiah Jackson,-0.09,-1.27,-1.36,0.99,1630543
13,Moses Moody,-0.43,-2.96,-3.39,0.45,1630541
28,Miles McBride,-1.61,-2.29,-3.89,0.14,1630540
0,Bones Hyland,1.11,-3.11,-2.01,1.64,1630538
25,Chris Duarte,-1.06,-0.63,-1.68,3.08,1630537
31,Greg Brown III,-1.42,-2.51,-3.93,0.22,1630535
31,Ziaire Williams,0.25,-2.08,-1.83,2.35,1630533
18,Franz Wagner,-1.77,3.59,1.83,10.07,1630532
6,Trey Murphy III,-0.55,-3.16,-3.71,0.49,1630530
13,Herbert Jones,-2.97,3.32,0.35,7.01,1630529
8,Josh Christopher,0.01,-4.59,-4.58,-0.09,1630528
15,Brandon Boston Jr.,-1.11,-2.69,-3.79,0.41,1630527
13,Jeremiah Robinson-Earl,-2.88,1.40,-1.48,1.98,1630526
4,Facundo Campazzo,-0.25,-3.03,-3.27,1.14,1630267
26,Anthony Gill,0.25,-3.78,-3.54,0.26,1630264
17,Jae'Sean Tate,-1.01,2.88,1.87,8.03,1630256
12,Vit Krejci,-1.46,-3.22,-4.68,-0.06,1630249
38,Ayo Dosunmu,-1.38,-1.79,-3.18,1.83,1630245
28,Saben Lee,-0.47,-2.60,-3.06,0.64,1630240
26,Trent Forrest,-1.70,-3.18,-4.88,-0.25,1630235
22,Nathan Knight,0.14,-2.51,-2.37,0.42,1630233
0,Kenyon Martin Jr.,0.61,-4.62,-4.01,0.61,1630231
24,Naji Marshall,0.58,-2.26,-1.68,1.38,1630230
33,Jonathan Kuminga,1.17,-2.44,-1.27,2.54,1630228
28,Jalen Green,-0.45,-0.64,-1.09,4.43,1630224
3,Skylar Mays,-0.13,-3.89,-4.02,0.07,1630219
14,Desmond Bane,0.97,4.33,5.30,13.89,1630217
25,Jared Butler,1.31,-3.70,-2.40,0.52,1630215
9,Xavier Tillman,-0.65,-1.55,-2.19,1.13,1630214
18,Markus Howard,1.38,-2.98,-1.60,0.34,1630210
34,Omer Yurtseven,-1.39,-0.49,-1.87,1.17,1630209
12,Nick Richards,-0.83,-2.94,-3.78,0.21,1630208
28,Lamar Stevens,-2.03,-2.34,-4.37,0.08,1630205
0,Payton Pritchard,0.95,-3.55,-2.60,1.33,1630202
32,Malachi Flynn,0.27,-2.71,-2.44,0.76,1630201
8,Tre Jones,-0.05,-3.31,-3.35,0.91,1630200
27,Isaiah Joe,-1.13,-3.77,-4.91,-0.19,1630198
25,Aleksej Pokusevski,-0.89,-0.16,-1.05,3.00,1630197
14,Leandro Bolmaro,-3.91,-3.30,-7.21,-0.53,1630195
33,Paul Reed,-2.16,-0.28,-2.45,0.40,1630194
32,Immanuel Quickley,1.74,-3.59,-1.85,3.27,1630193
10,Zeke Nnaji,-0.28,-3.08,-3.36,0.58,1630192
28,Isaiah Stewart,-4.66,4.44,-0.22,4.38,1630191
5,Elijah Hughes,-1.24,-3.29,-4.53,-0.01,1630190
11,Jalen Smith,1.29,-2.03,-0.74,2.41,1630188
30,Kira Lewis Jr.,0.30,-4.22,-3.92,0.17,1630184
0,Jaden McDaniels,-1.26,-0.08,-1.33,4.05,1630183
33,Josh Green,-1.31,-2.64,-3.96,0.40,1630182
9,R.J. Hampton,-2.11,-3.33,-5.44,-0.93,1630181
24,Saddiq Bey,-0.77,3.81,3.04,12.48,1630180
12,Tyrese Maxey,-1.22,4.80,3.58,12.12,1630178
7,Theo Maledon,-1.01,-2.72,-3.72,0.46,1630177
35,Cole Anthony,0.30,0.68,0.97,7.35,1630175
2,Aaron Nesmith,-0.47,-2.74,-3.21,0.50,1630174
36,Precious Achiuwa,-2.22,-0.94,-3.17,1.50,1630173
29,Isaac Okoro,-2.79,2.57,-0.22,4.93,1630171
8,Devin Vassell,0.27,-1.69,-1.43,4.19,1630170
11,Tyrese Haliburton,0.15,1.92,2.07,11.18,1630169
19,Onyeka Okongwu,0.30,-1.94,-1.64,1.83,1630168
19,Obi Toppin,1.50,-2.45,-0.95,2.80,1630167
16,Deni Avdija,-0.69,-2.12,-2.81,2.34,1630166
29,Killian Hayes,-3.80,0.20,-3.60,0.86,1630165
36,LaMelo Ball,2.61,1.53,4.15,12.60,1630163
16,Anthony Edwards,1.78,1.61,3.38,12.21,1630162
6,Keljin Blevins,-2.35,-4.32,-6.67,-0.37,1629833
30,Javonte Green,-1.52,1.29,-0.23,4.07,1629750
2,Matt Thomas,-0.63,-3.38,-4.02,0.19,1629744
25,Dean Wade,-0.75,0.61,-0.14,2.95,1629731
21,Garrison Mathews,1.55,-2.54,-0.99,4.13,1629726
5,John Konchar,-0.64,-0.75,-1.39,2.78,1629723
13,Charlie Brown Jr.,-4.98,-2.23,-7.21,-0.33,1629718
14,Armoni Brooks,2.25,-3.74,-1.48,2.05,1629717
11,Dylan Windler,-0.95,-2.83,-3.78,0.24,1629685
31,Grant Williams,-0.83,-2.28,-3.12,1.75,1629684
6,Killian Tillie,-2.19,-1.92,-4.11,0.14,1629681
29,Matisse Thybulle,-2.28,3.50,1.22,5.72,1629680
29,Admiral Schofield,-0.50,-3.88,-4.38,0.03,1629678
7,Isaiah Roby,-0.55,-0.14,-0.69,1.82,1629676
10,Naz Reid,0.85,-2.29,-1.44,2.73,1629675
16,Jordan Poole,2.59,-0.70,1.89,9.33,1629673
36,Eric Paschall,0.87,-3.40,-2.53,1.11,1629672
9,Jordan Nwora,-0.78,-3.35,-4.13,0.31,1629670
37,Jaylen Nowell,2.15,-4.09,-1.94,1.84,1629669
4,Jalen McDaniels,-0.27,-3.41,-3.69,0.52,1629667
31,Cameron Johnson,1.38,-1.62,-0.24,5.30,1629661
18,Ty Jerome,1.22,-2.13,-0.92,2.22,1629660
26,Talen Horton-Tucker,-1.00,-3.34,-4.34,0.16,1629659
12,Quentin Grimes,-0.29,-1.94,-2.23,1.28,1629656
5,Daniel Gafford,-0.99,1.60,0.61,4.29,1629655
25,Luguentz Dort,-0.10,1.55,1.46,6.63,1629652
34,Nic Claxton,-0.75,-0.54,-1.28,1.81,1629651
34,Moses Brown,-1.17,-1.98,-3.15,0.24,1629650
9,Ignas Brazdeikis,-1.11,-3.55,-4.66,-0.05,1629649
33,Darius Bazley,-2.39,2.06,-0.32,5.60,1629647
15,Charles Bassey,-0.11,-1.38,-1.49,0.46,1629646
20,Kevin Porter Jr.,-0.03,0.00,-0.03,4.99,1629645
23,KZ Okpala,-1.71,-3.11,-4.82,-0.06,1629644
27,Chuma Okeke,-0.73,-0.35,-1.09,4.29,1629643
5,Nassir Little,-0.09,-0.55,-0.64,3.03,1629642
37,Romeo Langford,-1.78,-2.65,-4.43,0.04,1629641
32,Keldon Johnson,-0.36,1.46,1.10,8.56,1629640
12,Tyler Herro,1.65,-3.13,-1.48,4.46,1629639
13,Nickeil Alexander-Walker,0.30,-2.54,-2.23,2.50,1629638
2,Jaxson Hayes,0.28,-1.64,-1.36,2.93,1629637
30,Darius Garland,2.37,2.20,4.57,13.06,1629636
34,Brandon Clarke,1.44,-1.78,-0.34,3.76,1629634
30,Jarrett Culver,-0.46,-1.96,-2.42,0.49,1629633
9,Coby White,1.26,-4.61,-3.35,1.33,1629632
21,De'Andre Hunter,-2.37,0.70,-1.67,2.52,1629631
14,Ja Morant,4.31,-0.83,3.48,10.46,1629630
17,Cam Reddish,-0.61,-3.20,-3.81,0.54,1629629
2,RJ Barrett,-0.29,1.03,0.74,7.67,1629628
16,Max Strus,1.88,-2.75,-0.87,3.96,1629622
16,Justin Robinson,-2.65,-4.68,-7.34,-0.67,1629620
39,Terance Mann,-1.59,1.15,-0.43,6.36,1629611
35,CJ Elleby,-1.98,-2.43,-4.41,0.06,1629604
38,Amir Coffey,-0.75,-0.58,-1.33,3.33,1629599
21,Juan Toscano-Anderson,-0.73,-2.23,-2.96,1.12,1629308
16,Drew Eubanks,-1.26,-1.01,-2.27,1.69,1629234
15,Gabe Vincent,-0.62,0.92,0.30,4.82,1629216
24,Chris Chiozza,-4.08,-4.25,-8.33,-1.09,1629185
22,Brandon Goodwin,-0.25,-2.73,-2.97,0.48,1629164
19,Jordan McLaughlin,-0.20,-2.08,-2.28,1.43,1629162
18,Yuta Watanabe,-0.33,-3.12,-3.46,0.38,1629139
19,Duncan Robinson,0.53,4.58,5.11,11.43,1629130
9,Jock Landale,2.17,-3.60,-1.44,1.37,1629111
34,Gary Clark,-3.14,-1.90,-5.04,-0.16,1629109
38,Kelan Martin,-0.79,-3.19,-3.97,0.19,1629103
25,Rui Hachimura,-0.39,-3.12,-3.51,0.54,1629060
22,Robert Williams III,-1.04,5.94,4.90,10.84,1629057
3,Terence Davis,2.58,-1.84,0.74,2.24,1629056
23,Oshae Brissett,-0.66,-2.32,-2.98,1.58,1629052
32,Goga Bitadze,1.85,-2.15,-0.30,1.93,1629048
10,Luka Doncic,5.17,1.07,6.24,15.07,1629029
20,Deandre Ayton,-1.00,4.23,3.24,7.73,1629028
9,Trae Young,5.50,0.87,6.37,17.24,1629027
