,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,203076,Anthony Davis,Anthony,1610612747,LAL,28.0,37,17,20,0.459,35.1,9.2,17.2,0.537,0.3,1.8,0.182,4.4,6.1,0.709,2.8,6.9,9.7,2.9,2.1,1.2,2.3,0.5,2.5,5.2,23.1,-1.8,47.7,17,0,9,9,9,9,2,2,2,5,15,13,16,1,1,11,1,1,1,4,3,3,1,6,5,2,2,12,2,2,3,5,"203076,1610612747"
1,1630559,Austin Reaves,Austin,1610612747,LAL,23.0,40,22,18,0.55,21.6,2.1,4.3,0.488,0.8,2.4,0.32,1.2,1.5,0.828,0.6,2.0,2.6,1.3,0.5,0.3,0.3,0.2,1.4,2.0,6.2,3.1,12.5,0,0,8,5,10,1,10,11,11,7,10,10,9,9,10,2,11,12,13,9,13,19,11,15,14,5,11,3,14,8,3,5,"1630559,1610612747"
2,202340,Avery Bradley,Avery,1610612747,LAL,31.0,49,24,25,0.49,23.8,2.5,6.1,0.411,1.4,3.6,0.381,0.2,0.3,0.857,0.6,1.8,2.3,0.8,0.7,0.9,0.2,0.3,1.9,0.5,6.6,-2.5,13.3,0,0,4,3,4,5,8,8,8,13,5,6,6,16,16,1,13,14,14,13,11,5,17,9,9,16,9,16,12,8,3,5,"202340,1610612747"
3,2546,Carmelo Anthony,Carmelo,1610612747,LAL,37.0,51,24,27,0.471,26.6,4.6,10.5,0.439,2.4,6.0,0.393,1.9,2.3,0.824,0.8,3.3,4.2,1.0,0.9,0.7,0.8,0.3,2.3,1.8,13.5,1.2,23.9,1,0,3,3,2,7,5,5,4,10,2,2,4,5,5,3,8,6,6,11,9,7,4,11,6,7,4,5,4,5,3,5,"2546,1610612747"
4,1630602,Chaundee Brown Jr.,Chaundee,1610612737,ATL,23.0,2,0,2,0.0,10.3,0.5,3.5,0.143,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,-0.5,1.7,0,0,19,17,18,17,18,21,17,21,17,15,17,19,19,19,21,19,20,19,15,21,19,3,22,17,21,8,22,8,3,5,"1630602,1610612737"
5,201954,Darren Collison,Darren,1610612747,LAL,34.0,3,1,2,0.333,12.4,0.7,2.3,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.7,0.3,0.3,0.0,0.0,1.7,0.3,1.3,-4.7,4.6,0,0,18,16,18,15,17,20,20,19,17,16,17,19,19,19,21,18,19,15,20,17,19,18,12,20,20,20,20,8,3,5,"201954,1610612747"
6,201599,DeAndre Jordan,DeAndre,1610612747,LAL,33.0,31,15,16,0.484,12.9,1.9,2.8,0.67,0.0,0.0,0.0,0.4,0.8,0.48,1.6,3.9,5.5,0.4,0.6,0.3,0.8,0.2,1.6,0.8,4.2,-3.0,14.1,0,0,12,11,11,6,16,14,19,1,17,21,17,14,13,18,3,4,5,17,12,18,5,14,13,12,14,18,11,8,3,5,"201599,1610612747"
7,2730,Dwight Howard,Dwight,1610612747,LAL,36.0,43,18,25,0.419,14.7,1.9,3.2,0.601,0.1,0.2,0.667,1.3,2.1,0.63,2.0,3.6,5.7,0.5,0.8,0.7,0.7,0.4,2.0,1.8,5.3,-0.4,16.1,3,0,5,8,4,11,14,13,18,4,16,20,1,8,6,14,2,5,4,16,10,10,6,8,8,6,13,6,8,4,3,5,"2730,1610612747"
8,202738,Isaiah Thomas,Isaiah,1610612742,DAL,33.0,4,0,4,0.0,25.2,3.0,9.8,0.308,1.3,5.5,0.227,2.0,2.8,0.727,0.3,1.8,2.0,1.5,1.3,0.0,0.5,0.3,3.0,2.0,9.3,-5.8,14.2,0,0,16,17,16,17,7,7,6,18,6,4,15,4,4,10,19,15,15,7,7,21,8,12,1,4,7,21,10,8,3,5,"202738,1610612742"
9,1630643,Jay Huff,Jay,1610612747,LAL,24.0,4,0,4,0.0,5.1,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.0,3.8,2.8,0,0,16,17,16,17,21,22,22,22,17,19,17,19,19,19,19,20,20,18,21,20,14,18,21,21,22,2,21,8,3,5,"1630643,1610612747"
10,1629203,Jemerrio Jones,Jemerrio,1610612747,LAL,26.0,2,0,2,0.0,7.4,1.0,1.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,2.0,-6.5,5.3,0,0,19,17,18,17,20,18,21,2,17,21,17,19,19,19,6,21,18,19,22,15,19,18,16,22,19,22,18,8,3,5,"1629203,1610612747"
11,203145,Kent Bazemore,Kent,1610612747,LAL,32.0,32,16,16,0.5,14.4,1.3,3.8,0.331,0.8,2.1,0.358,0.4,0.5,0.765,0.3,1.4,1.7,0.9,0.3,0.7,0.2,0.0,1.8,0.8,3.7,-2.8,9.3,0,0,11,10,11,2,15,17,15,16,11,11,7,13,15,7,16,17,16,12,19,12,16,18,10,13,16,17,17,8,3,5,"203145,1610612747"
12,2544,LeBron James,LeBron,1610612747,LAL,37.0,42,21,21,0.5,36.8,10.9,21.1,0.518,2.8,7.9,0.35,4.3,5.7,0.752,1.1,6.9,8.0,6.4,3.3,1.6,1.0,0.8,2.2,5.2,28.9,-0.7,52.4,16,4,7,6,8,2,1,1,1,6,1,1,8,2,2,8,5,2,2,2,2,1,3,2,7,1,1,10,1,3,2,5,"2544,1610612747"
13,1628370,Malik Monk,Malik,1610612747,LAL,24.0,53,26,27,0.491,27.0,4.7,10.1,0.468,2.2,5.6,0.394,1.2,1.5,0.775,0.4,2.8,3.3,2.5,1.4,0.7,0.4,0.4,1.7,1.3,12.8,2.5,22.5,1,0,2,2,2,4,4,4,5,9,3,3,3,10,9,6,15,8,9,6,6,8,10,7,11,10,5,4,5,5,3,5,"1628370,1610612747"
14,1630222,Mason Jones,Mason,1610612747,LAL,23.0,2,0,2,0.0,4.4,1.0,4.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.5,-2.0,4.7,0,0,19,17,18,17,22,18,12,20,17,16,17,12,12,15,14,21,20,19,15,15,19,18,19,17,18,15,19,8,3,5,"1630222,1610612747"
15,200765,Rajon Rondo,Rajon,1610612739,CLE,36.0,18,5,13,0.278,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.1,0.1,0.5,0.6,2.2,2.7,3.7,1.9,0.7,0.3,0.2,1.4,0.6,3.1,-3.7,12.9,0,0,15,15,14,16,13,16,14,17,14,14,14,18,18,15,12,11,12,3,4,11,12,13,15,15,17,19,13,8,3,5,"200765,1610612739"
16,201566,Russell Westbrook,Russell,1610612747,LAL,33.0,58,27,31,0.466,34.5,6.9,15.9,0.437,1.0,3.4,0.295,3.4,5.1,0.663,1.4,6.3,7.7,7.4,4.0,1.1,0.3,1.1,3.0,4.0,18.3,-2.0,38.6,23,9,1,1,1,8,3,3,3,11,7,7,12,3,3,13,4,3,3,1,1,4,13,1,2,3,3,14,3,1,1,5,"201566,1610612747"
17,1629635,Sekou Doumbouya,Sekou,1610612747,LAL,21.0,2,0,2,0.0,8.2,2.5,4.0,0.625,0.5,1.0,0.5,1.5,2.0,0.75,1.0,2.0,3.0,0.0,1.0,1.5,1.0,0.5,0.5,1.5,7.0,12.0,17.1,0,0,19,17,18,17,19,9,12,3,13,16,2,7,7,9,6,12,11,19,8,2,2,3,19,9,8,1,7,8,3,5,"1629635,1610612747"
18,1626169,Stanley Johnson,Stanley,1610612747,LAL,25.0,25,10,15,0.4,21.7,2.4,5.0,0.472,0.6,2.0,0.314,0.8,1.2,0.677,0.6,2.5,3.1,1.4,0.5,0.7,0.4,0.3,2.7,1.1,6.2,-0.6,14.8,0,0,13,13,13,12,9,10,10,8,12,12,10,11,11,12,10,10,10,8,14,9,9,10,3,11,10,9,9,8,3,5,"1626169,1610612747"
19,1629659,Talen Horton-Tucker,Talen,1610612747,LAL,21.0,43,19,24,0.442,25.9,3.6,8.7,0.416,0.9,3.0,0.285,1.5,1.9,0.795,0.7,2.7,3.3,2.6,1.5,0.9,0.6,0.5,2.5,1.5,9.7,-0.5,20.6,1,0,5,7,6,10,6,6,7,12,9,9,13,6,8,5,9,9,8,5,5,6,7,5,4,8,6,7,6,5,3,5,"1629659,1610612747"
