,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,1629634,Brandon Clarke,Brandon,1610612763,MEM,25.0,47,32,15,0.681,19.2,4.5,6.9,0.646,0.1,0.4,0.211,1.4,2.0,0.674,2.1,3.4,5.5,1.4,0.5,0.5,1.1,0.5,1.9,1.7,10.4,2.0,23.4,2,0,9,7,9,12,10,5,7,2,17,18,15,6,5,8,2,7,4,8,12,14,2,8,6,5,5,8,7,4,2,5,"1629634,1610612763"
1,1629610,DaQuan Jeffries,DaQuan,1610612763,MEM,24.0,3,3,0,1.0,2.9,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.7,-1.0,2.0,0,0,19,18,19,1,20,19,20,4,18,19,18,17,19,17,20,17,20,18,18,19,16,18,20,18,20,17,20,9,2,5,"1629610,1610612763"
2,1629751,Dakota Mathias,Dakota,1610612763,MEM,26.0,6,5,1,0.833,2.7,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.2,0.0,0.0,0.2,0.0,1.0,-1.8,2.2,0,0,17,17,17,7,21,19,18,18,13,14,7,17,19,17,20,22,22,20,18,17,16,18,23,18,17,22,19,9,2,5,"1629751,1610612763"
3,1629001,De'Anthony Melton,De'Anthony,1610612763,MEM,23.0,53,35,18,0.66,22.7,3.6,9.3,0.386,1.6,4.7,0.341,1.2,1.6,0.726,1.0,3.5,4.5,2.7,1.4,1.6,0.5,0.5,1.7,1.3,9.9,3.7,24.5,1,0,6,6,3,15,6,6,5,15,3,4,5,7,7,7,7,6,6,4,6,1,5,6,7,7,6,3,6,7,2,5,"1629001,1610612763"
4,1630217,Desmond Bane,Desmond,1610612763,MEM,23.0,58,40,18,0.69,30.1,6.5,14.4,0.453,2.8,6.9,0.41,1.8,1.9,0.912,0.6,3.8,4.4,2.5,1.6,1.2,0.4,0.8,2.7,1.4,17.7,3.1,29.9,0,0,2,2,3,11,2,3,3,8,1,1,3,4,6,1,12,5,7,7,5,4,7,4,3,6,3,5,3,9,2,5,"1630217,1610612763"
5,1628415,Dillon Brooks,Dillon,1610612763,MEM,26.0,21,13,8,0.619,27.9,6.9,16.2,0.426,1.6,4.8,0.327,3.0,3.4,0.889,0.8,2.5,3.3,2.7,1.8,1.3,0.2,1.0,3.3,3.4,18.4,5.1,29.1,0,0,15,15,14,22,3,2,2,12,4,3,10,3,3,2,10,9,9,5,2,2,12,3,2,3,2,1,4,9,2,5,"1628415,1610612763"
6,1629630,Ja Morant,Ja,1610612763,MEM,22.0,48,30,18,0.625,33.3,10.0,20.5,0.49,1.5,4.5,0.332,5.5,7.2,0.758,1.4,4.5,5.9,6.7,3.4,1.2,0.4,1.7,1.5,5.6,27.1,3.0,45.6,9,1,8,9,3,21,1,1,1,6,5,5,9,1,1,6,4,2,3,1,1,3,8,1,10,1,1,6,1,2,1,5,"1629630,1610612763"
7,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,22.0,61,41,20,0.672,27.9,5.7,13.7,0.414,1.7,5.4,0.314,3.6,4.5,0.803,1.6,4.4,6.0,1.1,1.6,1.0,2.2,1.3,3.4,3.6,16.6,3.3,33.5,7,0,1,1,1,13,4,4,4,14,2,2,11,2,2,4,3,3,2,10,3,7,1,2,1,2,4,4,2,3,2,5,"1628991,1610612763"
8,1629633,Jarrett Culver,Jarrett,1610612763,MEM,23.0,27,20,7,0.741,9.2,1.5,3.6,0.417,0.4,1.2,0.303,0.4,0.9,0.522,0.4,1.1,1.4,1.0,0.5,0.6,0.1,0.3,1.1,0.7,3.8,1.0,8.6,0,0,13,13,15,8,16,13,15,13,12,13,13,12,11,15,15,15,15,13,13,13,14,10,13,13,14,10,14,9,2,5,"1629633,1610612763"
9,1629723,John Konchar,John,1610612763,MEM,25.0,54,36,18,0.667,18.4,1.8,3.6,0.495,0.8,1.8,0.418,0.4,0.7,0.59,1.1,3.3,4.4,1.4,0.4,0.7,0.3,0.1,1.3,0.6,4.7,0.9,14.6,2,0,5,5,3,14,11,12,15,5,10,10,2,14,13,13,6,8,8,9,14,11,10,17,11,15,11,12,10,4,2,5,"1629723,1610612763"
10,1630257,Jon Teske,Jon,1610612763,MEM,24.0,3,3,0,1.0,2.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.7,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,-1.0,2.3,0,0,19,18,19,1,22,22,23,22,18,21,18,17,15,17,20,17,20,18,18,16,16,18,20,18,22,17,18,9,2,5,"1630257,1610612763"
11,1629681,Killian Tillie,Killian,1610612763,MEM,23.0,32,23,9,0.719,13.3,1.3,3.6,0.362,0.8,2.4,0.338,0.2,0.3,0.625,0.6,1.1,1.7,0.6,0.3,0.7,0.4,0.3,1.7,0.3,3.6,1.8,9.7,0,0,12,12,13,9,12,16,13,17,9,9,6,16,18,11,11,14,14,16,15,10,6,12,8,16,15,9,13,9,2,5,"1629681,1610612763"
12,203937,Kyle Anderson,Kyle,1610612763,MEM,28.0,49,32,17,0.653,21.7,3.0,6.9,0.432,0.5,1.6,0.333,1.0,1.6,0.636,1.0,4.3,5.3,2.6,1.1,1.1,0.6,0.4,1.6,1.2,7.4,0.5,21.8,2,0,7,7,7,17,8,9,8,11,11,11,7,8,8,10,7,4,5,6,7,5,4,9,9,8,9,14,8,4,2,5,"203937,1610612763"
13,1630241,Sam Merrill,Sam,1610612763,MEM,25.0,6,2,4,0.333,9.6,1.3,4.0,0.333,1.2,3.8,0.304,0.3,0.7,0.5,0.2,1.0,1.2,0.7,0.3,0.0,0.0,0.0,0.5,0.8,4.2,-1.5,6.2,0,0,17,20,16,23,15,15,11,18,6,6,12,15,15,16,19,16,16,15,16,19,16,18,16,11,13,21,16,9,2,5,"1630241,1610612763"
14,1630583,Santi Aldama,Santi,1610612763,MEM,21.0,27,17,10,0.63,10.2,1.4,3.6,0.381,0.1,1.4,0.103,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.3,0.1,0.3,0.1,1.0,0.7,3.3,0.7,7.6,1,0,13,14,12,20,14,14,14,16,15,12,17,12,12,12,9,13,12,17,16,18,11,16,14,13,16,13,15,7,2,5,"1630583,1610612763"
15,1629783,Shaq Buchanan,Shaq,1610612763,MEM,25.0,2,2,0,1.0,4.9,0.5,2.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,1.0,-1.0,4.2,0,0,21,20,19,1,17,17,17,21,18,14,18,17,19,17,13,19,17,12,8,15,16,7,16,18,17,17,17,9,2,5,"1629783,1610612763"
16,203500,Steven Adams,Steven,1610612763,MEM,28.0,58,38,20,0.655,26.3,2.8,5.1,0.542,0.0,0.0,0.0,1.5,2.8,0.553,4.6,5.3,9.8,3.3,1.6,0.8,0.7,0.6,1.9,2.8,7.1,4.7,26.8,12,0,2,3,1,16,5,10,10,3,18,21,18,5,4,14,1,1,1,3,4,9,3,5,5,4,10,2,5,1,2,5,"203500,1610612763"
17,1630179,Tyrell Terry,Tyrell,1610612763,MEM,21.0,2,2,0,1.0,1.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-1.0,1.0,0,0,21,20,19,1,23,17,21,1,18,21,18,17,19,17,20,23,23,21,18,19,16,18,16,18,17,17,23,9,2,5,"1630179,1610612763"
18,1626145,Tyus Jones,Tyus,1610612763,MEM,25.0,55,38,17,0.691,20.5,3.2,7.0,0.46,0.9,2.5,0.36,0.7,0.9,0.872,0.2,2.2,2.4,4.2,0.7,0.9,0.0,0.3,0.4,1.0,8.1,2.3,19.4,0,0,4,3,7,10,9,7,6,7,8,8,4,10,10,3,18,10,11,2,9,8,15,13,19,9,7,7,9,9,2,5,"1626145,1610612763"
19,1630270,Xavier Sneed,Xavier,1610612762,UTA,24.0,2,2,0,1.0,3.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,1.2,0,0,21,20,19,1,18,22,18,22,18,14,18,17,19,17,13,19,17,21,18,19,16,18,14,18,22,23,22,9,2,5,"1630270,1610612762"
20,1630214,Xavier Tillman,Xavier,1610612763,MEM,23.0,39,25,14,0.641,13.1,1.8,3.9,0.451,0.2,0.9,0.2,0.8,1.2,0.646,1.2,1.8,3.0,1.0,0.7,1.1,0.4,0.2,1.3,0.8,4.5,-1.0,13.2,0,0,11,11,11,19,13,11,12,10,14,17,16,9,9,9,5,11,10,11,10,6,9,14,12,10,12,16,11,9,2,5,"1630214,1610612763"
