,TeamID,TeamName,Record,Conference,WINS,LOSSES,WinPCT,L10,CurrentStreak,PointsPG,OppPointsPG,DiffPointsPG
0,1610612756,Suns,49-11,West,49,11,0.817,8-2  ,-1,113.6,105.7,8.0
3,1610612744,Warriors,43-17,West,43,17,0.717,6-4  ,1,111.0,103.6,7.4
5,1610612763,Grizzlies,42-20,West,42,20,0.677,7-3  ,1,113.8,109.1,4.7
1,1610612748,Heat,40-21,East,40,21,0.656,8-2  ,3,109.4,104.8,4.6
2,1610612741,Bulls,39-22,East,39,22,0.639,7-3  ,-1,112.6,110.4,2.1
7,1610612762,Jazz,37-22,West,37,22,0.627,7-3  ,1,113.7,106.9,6.8
4,1610612755,76ers,37-23,East,37,23,0.617,6-4  ,3,107.9,105.9,2.1
6,1610612739,Cavaliers,36-24,East,36,24,0.6,6-4  ,1,106.4,102.3,4.1
9,1610612749,Bucks,36-25,East,36,25,0.59,5-5  ,-2,113.3,110.1,3.2
8,1610612742,Mavericks,35-25,West,35,25,0.583,6-4  ,-1,106.7,103.5,3.2
11,1610612743,Nuggets,35-25,West,35,25,0.583,7-3  ,5,110.3,107.9,2.4
10,1610612738,Celtics,36-26,East,36,26,0.581,9-1  ,2,109.2,103.5,5.7
12,1610612761,Raptors,32-27,East,32,27,0.542,6-4  ,-2,108.3,107.5,0.7
13,1610612750,Timberwolves,32-29,West,32,29,0.525,6-4  ,-1,113.1,112.1,1.0
14,1610612751,Nets,32-29,East,32,29,0.525,3-7  ,1,111.0,111.3,-0.3
15,1610612746,Clippers,31-31,West,31,31,0.5,5-5  ,2,106.8,107.6,-0.8
17,1610612766,Hornets,30-31,East,30,31,0.492,2-8  ,1,114.0,114.4,-0.4
19,1610612737,Hawks,29-31,East,29,31,0.483,5-5  ,1,112.4,111.6,0.9
16,1610612747,Lakers,27-32,West,27,32,0.458,3-7  ,-1,110.8,112.3,-1.5
21,1610612764,Wizards,27-33,East,27,33,0.45,4-6  ,-2,107.5,110.3,-2.9
18,1610612757,Trail Blazers,25-35,West,25,35,0.417,4-6  ,-1,108.0,112.4,-4.4
23,1610612752,Knicks,25-36,East,25,36,0.41,1-9  ,-5,105.0,106.7,-1.7
20,1610612740,Pelicans,24-36,West,24,36,0.4,6-4  ,1,106.5,109.4,-2.9
22,1610612759,Spurs,24-37,West,24,37,0.393,5-5  ,-1,112.8,112.7,0.1
25,1610612758,Kings,22-40,West,22,40,0.355,4-6  ,-4,109.9,115.1,-5.2
24,1610612754,Pacers,20-41,East,20,41,0.328,2-8  ,-1,109.6,112.2,-2.7
26,1610612760,Thunder,19-41,West,19,41,0.317,3-7  ,1,101.7,108.4,-6.7
29,1610612745,Rockets,15-44,West,15,44,0.254,1-9  ,-8,108.5,118.2,-9.6
27,1610612765,Pistons,14-46,East,14,46,0.233,2-8  ,-1,102.6,112.5,-9.8
28,1610612753,Magic,14-47,East,14,47,0.23,3-7  ,1,103.6,111.9,-8.4
